제목,저자,출판사,발행일,정가,판매가,리뷰수,판매지수,상세정보,설명,상세페이지URL
AI 인공지능 드론 만들고 날리고 딥러닝 구현하기,서민우,앤써북,2023년 05월,26000,23400,0,528,N/A,드론을 이용하여 인공지능 딥러닝을 공부하고 적용하는 방법을 소개하는데 초점을 맞춘 책입니다! 이 책에서 설명하는 드론을 이용하여 인공지능 딥러닝 배우는 3단계 학습 방법!- 1단계 : 센서 기반 데이터 수집 - ...,https://www.yes24.com/product/goods/118811270
다시 확률 통계-통계편,나가노 히로유키 /장진희 역,길벗,2022년 04월,24000,21600,14,492,N/A,"확률과 통계로 잠들어 있던 수학의 뇌를 깨워 보자!데이터가 차고 넘치는 세상 속에서 필요한 정보만 수집하는 방법으로 통계를 사용하고 있다. 일상에서도 이미 통계적 접근 방식이 익숙해진 지금, 그 어느 때보다 ...",https://www.yes24.com/product/goods/108826372
인공지능,이건명,생능출판사,2018년 09월,35000,35000,8,456,N/A,인공지능의 전통 기술에서 딥러닝까지최근 인공지능은 일상어가 되어버렸다. 인공지능이 4차 산업혁명 시대의 핵심 기술이라고도 한다. 인공지능이 미래를 크게 바꿀 것이라고 한다. 인공지능 때문에 일자리가 사라...,https://www.yes24.com/product/goods/64441172
따라만 하세요 챗GPT 비오3 VEO3 미드저니 AI로 유튜브 쇼츠 인스타그램 릴스 틱톡 네이버 클립 숏폼 인공지능 동영상 만들기 제작 책 학원강의 교재보다 좋은 USB 강좌 교육(USB),액션미디어 편집부,액션미디어,2025년 12월,39800,39800,1,570,N/A,"본 제품은 그냥 가만히 눈으로만 공부하는 제품이 아닙니다.학습화면을 보고, 듣고 클릭하면서 배우는 교육 제품입니다.",https://www.yes24.com/product/goods/167652813
AI 에이전트와 업무생산성 향상,"김진희, 김지연, 노진아, 서순향, 서연석  외 5명
                                        
정보 더 보기/감추기



김진희
김지연
노진아
서순향
서연석
안은진
엄서영
오영주
정지영
한성은",미디어북,2025년 03월,20000,20000,2,348,N/A,"『AI 에이전트와 업무생산성 향상』 이 책은 AI를 처음 접하는 사람부터 실무에서 AI를 적극적으로 활용하려는 전문가까지, 모든 독자가 AI 에이전트를 효과적으로 활용할 수 있도록 실용적인 가이드 역할을 할 것이...",https://www.yes24.com/product/goods/143754127
파이썬 딥러닝 머신러닝 입문,오승환,정보문화사,2021년 01월,25000,22500,16,336,N/A,아직도 파이썬을 모른다고?이 책은 코드를 직접 입력하고 실행하는 데 필요한 기본적인 환경을 ‘구글 코랩’을 활용하여 파이썬의 가장 기본적인 문법 중 핵심적인 내용만 간단하게 설명한다. 머신러닝과 딥러닝을 ...,https://www.yes24.com/product/goods/96087004
트랜스포머로 시작하는 자연어 처리,"Denis Rothman /김윤기, 박지성, 임창대, 하헌규 역",영진닷컴,2024년 07월,42000,37800,31,372,N/A,"현대 디지털 시대의 혁명적인 딥러닝 모델,트랜스포머를 마스터해 봅시다.이 책은 자연어 처리(Natural Language Processing, NLP)와 트랜스포머(transformer) 모델의 혁신적 발전을 심도 있게 탐구한다. 자연어 이...",https://www.yes24.com/product/goods/128212003
"시작해요, 커서",리브로웍스 /김성훈 역,인사이트(insight),2025년 11월,22000,19800,25,318,N/A,"처음 배우는 AI 코드 에디터, 커서를 한 권으로 정복하자!설치부터 웹사이트 제작, AI 챗봇 개발, 협업까지 - 커서를 완벽하게 익히는 첫걸음코딩도 처음, 개발 툴도 처음인 비전공자가 커서를 완전히 처음부터 배울...",https://www.yes24.com/product/goods/162001730
"살아 보니, 지능","이권우, 이명현, 이정모, 정재승 /강양구 기획",어크로스,2023년 12월,16800,15120,7,375,N/A,‘책’ ‘과학’ ‘나이 듦’이라는 공통의 주제로 우정을 쌓아온 우리 시대의 지성인 이권우×이명현×이정모가 우리나라를 대표하는 뇌과학자 정재승과 만나 ‘지능’에 관한 아주 특별한 대담을 나눴다. 디지털과 ...,https://www.yes24.com/product/goods/124126489
린 고객 개발,"신디 앨버레즈  / 박주훈, 이광호 공역",한빛미디어,2015년 05월,20000,18000,14,342,N/A,"고객을 이해하고 고객이 원하는 제품을 만드는 방법어떻게 하면 고객이 정말 사서 쓰고 싶은 제품을 만들 수 있을까? 이 책은 누구도 원하지 않는 서비스나 제품을 만드는 데 시간과 비용을 낭비하지 않도록, 고객 ...",https://www.yes24.com/product/goods/17638366
AI와 한국 현대시,정끝별,커뮤니케이션북스,2025년 06월,12000,12000,0,372,N/A,"AI와 한국 현대시의 관계를 탐구한다. AI가 시의 언어를 어떻게 이해하고 재구성하는지를 살펴보며, 그것이 인간 시인의 창작과 어떻게 다를지, 혹은 어떻게 영향을 미칠지를 고찰한다. 또한 AI가 쓴 시와 인간의 시...",https://www.yes24.com/product/goods/147569959
AI와 직장인 글쓰기,전안나,커뮤니케이션북스,2025년 10월,12000,12000,4,312,N/A,"채용 서류부터 보고서까지 글쓰기는 직장인의 생존 기술이다. 생성형 AI는 이를 돕는 강력한 도구지만, 최종 성패는 인간의 판단과 수정 능력에 달려 있다. 이 책은 효율적 활용 전략을 제시한다. 인공지능총서. ais...",https://www.yes24.com/product/goods/155296825
나는 AI 엔지니어입니다,이동진,제이펍,2025년 12월,22000,19800,1,408,N/A,"AI/ML 커리어, 어디서부터 어떻게 시작할지 이 책이 알려드립니다AI/ML 엔지니어는 무엇을 하고 어떤 역량을 갖춰야 할까? 이 책은 직무별 역할과 필요 역량, 실제 직무 기술서(JD) 분석, 공부 로드맵까지 실무에 기...",https://www.yes24.com/product/goods/168230088
피지컬 AI와 삶의 변화,유훈식,커뮤니케이션북스,2025년 09월,12000,12000,0,216,N/A,"움직이고 감각하는 인공지능이 교육, 의료, 산업, 예술, 국방까지 바꾸는 모습을 그린다. 인간 정체성과 사회적 가치가 어떻게 재편될지를 성찰한다. 인공지능총서. aiseries.oopy.io에서 필요한 인공지능 지식을 찾...",https://www.yes24.com/product/goods/153596604
XGBoost와 사이킷런을 활용한 그레이디언트 부스팅,코리 웨이드 /박해선 역,한빛미디어,2022년 04월,34000,30600,21,282,N/A,"캐글 우승자들의 머신러닝 우승 비법이자 현존하는 가장 우월한 머신러닝 모델 XGBoost이 책은 기본적인 머신러닝과 판다스부터 사용자 정의 변환기, 파이프라인과 희소 행렬로 새로운 데이터의 예측을 만드는 강력...",https://www.yes24.com/product/goods/108708980
AI와 비영리 조직,황흥기,커뮤니케이션북스,2025년 10월,12000,12000,0,264,N/A,"비영리의 위기 속에서 AI는 기록·상담·모금·행정·회계를 자동화하고, 사람은 관계·윤리에 집중하게 한다. 편향·개인정보·설명 가능성·책임을 원칙으로 삼아 신뢰를 지키며, 데이터 표준·코크리에이션으로 기부자 경...",https://www.yes24.com/product/goods/159256986
퀀트 전략을 위한 인공지능 트레이딩,"김태헌, 신준호",한빛미디어,2020년 08월,28000,25200,28,270,N/A,"나만의 투자 전략 실현을 위한 인공지능 퀀트 투자 학습법 알파고 이후 인공지능 기술은 제조, 의료, 교육, 게임, 보안 등 다양한 산업에 도입되었고, 머신러닝과 딥러닝을 기반으로 한 서비스가 생겨났다. 금융권도...",https://www.yes24.com/product/goods/91326289
앱 인벤터 한 권으로 끝내기,"김홍순, 박지숙",잇플ITPLE,2023년 04월,28500,25650,18,330,N/A,매일 함께 하는 다양한 기능의 앱을 직접 만들 수 있다는 것은 정말 놀랍고도 흥미로운 일입니다. 어렵게만 느껴지는 앱 개발이라는 전문 분야를 누구나 쉽게 접근하여 자신만의 아이디어를 직접 실현할 수 있게 만...,https://www.yes24.com/product/goods/118413266
인공지능 개론,마이클 네그네빗스키 /김용혁 역,한빛아카데미,2013년 07월,25000,25000,9,252,N/A,10가지 실생활 예제로 풀어가는 인공지능 실용 입문서인공지능 및 패턴인식 입문서. 인공지능에 대한 지적 호기심을 충족시킬 수 있는 다양한 이론과 예제를 다룬다. 인공지능을 이해하는 데 필요한 확률·집합론 등...,https://www.yes24.com/product/goods/9386454
리액트 인터뷰 가이드,"수디르 조나, 앤드류 바이스덴 /김용찬, 강주희 역",위키북스,2024년 08월,28000,25200,5,210,N/A,총 223개에 달하는 리액트 개발자 면접 질문을 통해 리액트와 프런트엔드 개발 지식을 한 단계 더 업그레이드하세요!『리액트 인터뷰 가이드』는 리액트 생태계와 최신 리액트 개발 동향에 대해 종합적으로 다룬다. ...,https://www.yes24.com/product/goods/130271536
ChatGPT와 아두이노로 만드는 AI 음성비서,장문철,먼슬리북스,2026년 01월,19500,17550,9,168,N/A,"이 책은 단순한 코딩 교재가 아닙니다. 아두이노와 ChatGPT를 연결해 실제로 말하고 답하는 AI 음성비서를 직접 만들어보는 실습형 프로젝트 교재입니다. ESP32-S3 보드를 중심으로 마이크, 스피커, LCD, SD카드, Wi...",https://www.yes24.com/product/goods/173200410
AI와 인간의 인터레이싱,페드로 우리아-레시오,에이콘온,2025년 10월,38000,34200,10,210,N/A,"""미래의 지능은 누가 통제할 것인가?""""우리는 어떤 새로운 존재로 거듭나게 될 것인가?""인간과 AI가 하나로 얽히는 새로운 진화를 제시하는 책!우리는 인간과 인공지능이 점진적으로 융합하며 완전히 새로운 존재로 ...",https://www.yes24.com/product/goods/159169056
대규모 머신러닝 시스템 디자인 패턴,위안 탕 /정민정 역,한빛미디어,2024년 11월,30000,27000,10,198,N/A,"14가지 패턴으로 대규모 머신러닝 시스템을 완성하라!머신러닝의 급속한 발전과 함께 데이터와 트래픽이 폭발적으로 증가하면서, 단순히 성능 향상뿐 아니라 안정적이고 확장 가능한 시스템 설계가 중요해지고 있다....",https://www.yes24.com/product/goods/139707344
AI와 기계 산업,백동천,커뮤니케이션북스,2026년 01월,12000,12000,0,357,N/A,"데이터 중심 공학, 자율 제조, AI 기반 설계를 통해 기계공학의 미래를 조망한다. 인공지능이라는 새로운 엔진이 어떻게 물리적 구현을 통해 산업과 사회를 바꾸는지 설명하며, 기계공학자의 역할 변화를 제시한다. ...",https://www.yes24.com/product/goods/175110069
AI와 정밀 의료,김효정,커뮤니케이션북스,2025년 10월,12000,12000,0,243,N/A,"AI는 유전체·생활·환경 데이터를 통합해 개인별 최적 치료를 예측하고, 진단·예후·약물 반응까지 정밀하게 설계한다. 임상 적용의 현재와 한계, 설명가능성·편향·프라이버시, 인간 개입 원칙을 짚어 ‘평균의 의학’...",https://www.yes24.com/product/goods/159499662
코드형 인프라의 패턴과 실무,"로즈마리 왕 /이국성, 김찬규 역",에이콘출판사,2025년 02월,40000,36000,2,222,N/A,이 책은 코드형 인프라의 정의 및 패턴과 사용법을 소개한다. 기존 인프라를 코드형 인프라로 변경하는 방법뿐만 아니라 인프라를 모듈화하여 시스템 영향 범위를 최소화하는 배포 방법을 배울 수 있다. 또한 가상 ...,https://www.yes24.com/product/goods/142162263
Play IT! AI이거다,"심재국, 이우진, 송민규, 유준희, 조광복  외 9명
                                        
정보 더 보기/감추기



심재국
이우진
송민규
유준희
조광복
허정수
정익현
조호근
소한나
설 희
이슬비
박성현
온영범
서한별",퓨너스,2026년 01월,25000,22500,0,213,N/A,"이 책은 여러 로봇과 보드를 동시에 연결하고, 웹 브라우저 기반으로 다양한 AI 모델을 학습·활용하며, UI 디자인 기능까지 구현할 수 있는 퓨너스의 통합 개발 솔루션 [AI이거다]를 교육 현장에서 효과적으로 활용...",https://www.yes24.com/product/goods/172117845
인공지능과 국제정치 전환,"김상배, 이원태, 유인태, 이승주, 윤정현  외 5명
                                        
정보 더 보기/감추기



김상배
이원태
유인태
이승주
윤정현
이종진
정헌주
윤대엽
이수연
송태은",한울아카데미,2025년 10월,39000,39000,0,144,N/A,"AI를 국제정치학의 시각에서 논하다기회와 위협을 모두 안고 있는 AI 기술,AI의 범용성과 양면성을 고려한 전략 수립을 위하여오늘날 인공지능(AI)은 새로운 경제적·산업적 가치를 창출함과 동시에 그 기반이 되는 ...",https://www.yes24.com/product/goods/157808384
엔지니어를 위한 텐서와 연속체 역학 적용,미하일 이츠코프 /마이클 역,루비페이퍼,2022년 02월,32000,28800,1,156,N/A,텐서와 연속체 역학의 정석학계의 최신 주제와 기존 연구를 아우르는 세련된 접근법오늘날 첨단 기술 시스템은 수학적 모델링과 시스템 동작 분석을 통해 발전했다. 현대적 공학 분야의 업무를 수행하기 위해서는 정...,https://www.yes24.com/product/goods/107978675
"AI 디지털리터러시 전문가 남기종,장소영의 스마트폰 AI 챗GPT 사용 길라잡이","남기종, 장소영",디지털콘텐츠그룹,2025년 05월,18000,16200,0,180,N/A,"디지털 시대, 부모님을 위한 맞춤형 AI 활용 가이드본서는 AI 기술이 낯선 액티브 시니어·실버 세대가 쉽고 편리하게 AI를 활용할 수 있도록 기획된 실용 가이드이다. 챗GPT, 구글제미나이, 빅스비, 아숙업 등 다양...",https://www.yes24.com/product/goods/146361202
AI 기본법,이수경,커뮤니케이션북스,2025년 04월,12000,12000,0,156,N/A,"2025년 제정된 대한민국 최초의 인공지능 기본법을 상세히 해설한다. 산업 육성과 신뢰 확보를 목표로 한 조문별 설명과 입법 배경, 향후 과제를 폭넓게 다룬다. 인공지능 시대의 법적 토대를 이해할 수 있다.",https://www.yes24.com/product/goods/145369124
구글 AI Gemini 그림 초등왕,코딩 코치스,BOOKK(부크크),2025년 07월,15800,15800,0,108,N/A,“AI 전 영역에서 ‘그림 그리기’는 우리 아이들이 가장 빠르게 프로 수준의 결과물을 체험하고 성취감을 느낄 수 있는 유일한 부문입니다!”‘구글 AI Gemini 그림 초등왕 :그림 그리는 우리 아이를 위한 AI 안내...,https://www.yes24.com/product/goods/149243919
AI와 초등교육,신승기,커뮤니케이션북스,2025년 10월,12000,12000,0,156,N/A,"컴퓨팅 사고력, 디지털 소양, AI 융합 교육을 중심으로 교실과 가정에서 실천할 수 있는 구체적 전략을 제시한다. 교사의 역할 변화와 윤리적 과제까지 다루는 미래 교육의 길잡이다. 인공지능총서. aiseries.oopy.i...",https://www.yes24.com/product/goods/154756635
감으로 하는 브랜딩은 끝났다,조연심,힘찬북스,2025년 03월,22000,19800,45,"2,472",N/A,"‘퍼스널 브랜드의 시조새’로 불리며 지식소통가로 활약하고 있는 조연심이 전문가, 강사, 프리랜서, 온라인 크리에이터, 인플루언서, 1인 기업가 등을 위한 AI 기반 퍼스널 브랜딩 전략과 실행 방안을 한 권에 담...",https://www.yes24.com/product/goods/143845771
AI와 역사학,이상국,커뮤니케이션북스,2024년 12월,12000,12000,0,198,N/A,"AI가 역사학의 수집, 해석, 기록 방식을 변화시키는 과정을 탐구한다. AI는 방대한 역사적 데이터를 분석하고 새로운 사실을 발굴하며, 기존의 해석 방식을 넘어서 역사적 통찰을 제공할 수 있다. 그러나 AI의 해석...",https://www.yes24.com/product/goods/140134076
누구나 쉽게 따라하는 AI 챗GPT,"이정화, 최상국, 최영하, 손희주, 윤진숙  외 3명
                                        
정보 더 보기/감추기



이정화
최상국
최영하
손희주
윤진숙
김숙명
김수영
이경준",에스엔에스소통연구소,2024년 01월,20000,18000,0,126,N/A,"이 책은 AI 챗GPT에 익숙하지 않은 분들을 위해 AI 챗GPT의 기본 개념과 원리, 그리고 주요 활용 방법과 사례를 중심으로 AI 챗GPT의 이해와 기본 활용에 필요한 정보를 제공한다. 이 책을 통해 여러분은 AI 챗GPT의...",https://www.yes24.com/product/goods/124587213
파이토치와 구글 코랩으로 배우는 BERT 입문,아즈마 유키나가 /김모세 역,AK(에이케이 커뮤니케이션즈),2024년 01월,33000,31350,3,132,N/A,"딥러닝 기반 자연어 처리 기술 BERT를쉽고 컴팩트하게 익혀보자!파이토치와 구글 코랩을 사용해 BERT를 컴팩트하고 효율적으로 학습할 수 있다. 어텐션(Attenttion), 트랜스포머로부터 BERT로 이어지는 자연어 기술...",https://www.yes24.com/product/goods/124502660
ChatGPT로 시작하는 대화형 인공지능 활용법,김상윤,에이콘출판사,2023년 05월,22000,19800,3,150,N/A,"ChatGPT가 이슈인 이유와 개념 등을 알기 쉽게 설명했다. 인공지능과 ChatGPT를 처음 접하는 독자들은 음성으로 영어 회화를 하거나, 엑셀이나 파워포인트 등을 활용하는 사례를 중심으로 배울 수 있다. ChatGPT에 ...",https://www.yes24.com/product/goods/119051124
테크니컬 리더,제럴드 M. 와인버그,인사이트(insight),2013년 01월,18000,16200,4,162,N/A,"리더십은 익숙한 주제이지만 여전히 무엇인지 이해하는 것은 어려운 문제다. 현대 조직은 기술과 관리가 복잡하게 얽혀있어, 팀에서 발생하는 문제를 해결하고 변화를 불러일으키는데 필요한 리더십을 파악하는 일이...",https://www.yes24.com/product/goods/8301368
AI와 제조 기업의 지속 성장,박한구,커뮤니케이션북스,2024년 09월,12000,12000,0,138,N/A,"AI는 제조업의 생산성 향상과 비용 절감을 이끄는 핵심 기술이다. 자동화, 스마트 팩토리, 자율 생산 시스템을 통해 제조 공정을 최적화하고 품질을 향상시키며 경쟁력을 강화한다. 제조업에서 AI를 활용해 지속 가...",https://www.yes24.com/product/goods/133282269
AI 챗GPT 디지털 예술가 되기,"주혜정, 김미경, 강우리, 홍한들",광문각출판미디어,2024년 04월,17000,17000,19,288,N/A,"저자는 디지털리터러시와 디지털문화예술교육 전문가로, 수년간 청소년부터 시니어까지 디지털 소외계층이 문화예술을 쉽게 접근하도록 교육과정을 연구·설계하고 전시기획을 했다. 그 과정에서 예술경험이 긍정적으...",https://www.yes24.com/product/goods/126128289
인공지능과 인터랙티브 콘텐츠,백승국,커뮤니케이션북스,2025년 08월,12000,12000,0,144,N/A,"AI가 창작·데이터·상호작용을 통해 콘텐츠 생태계를 바꾸는 과정을 다룬다. 철학적·미학적 관점에서 인터랙티브 콘텐츠의 현재와 미래를 제시하며, 인간과 AI가 함께 만드는 새로운 미학을 탐구한다. 인공지능총서. ...",https://www.yes24.com/product/goods/152375605
AI와 진로 탐색,장혜진,커뮤니케이션북스,2025년 08월,12000,12000,0,108,N/A,"AI는 단지 기술이 아니라 진로를 바꾸는 언어다. 전공과 경계를 넘어 AI 시대에 나만의 길을 설계할 수 있도록 안내한다. 기술과 인간, 진로와 삶을 함께 묻는다. 인공지능총서. aiseries.oopy.io에서 필요한 인공지...",https://www.yes24.com/product/goods/150866750
AI 프롬프팅과 지식재산,김원오,커뮤니케이션북스,2025년 06월,12000,12000,0,108,N/A,"프롬프트 기반 창작 시대를 맞아 AI 산출물의 법적 지위와 창작자 권리 문제를 분석한다. 저작권, 특허, 딥페이크 등 핵심 쟁점을 총망라해 창작과 규제의 새 기준을 제시한다.",https://www.yes24.com/product/goods/147056013
AI 발전사,이규택,커뮤니케이션북스,2025년 05월,12000,12000,0,138,N/A,"기술의 진보와 함께 공존의 방향을 고민해야 할 시점, 인공지능의 역사와 기술의 흐름을 짚으며, 그 사회적 영향과 윤리적 과제를 함께 탐색한다.",https://www.yes24.com/product/goods/146509071
머신러닝 파워드 애플리케이션,에마뉘엘 아메장 /박해선 역,한빛미디어,2021년 09월,27000,24300,24,120,N/A,"아이디어가 현실이 되는, 나만의 머신러닝 애플리케이션 구현하기머신러닝 기반 애플리케이션을 설계, 구축, 배포하는 과정에 필요한 모든 기술을 설명하는 책이다. 초기 아이디어가 제품으로 개발되기까지의 과정을...",https://www.yes24.com/product/goods/103454086
건축을 위한 인공지능,이진모,우리북,2020년 11월,16500,15670,0,108,N/A,『건축을 위한 인공지능』은 '인공지능이 건축가나 디자이너를 대체하는 사회가 올 것이다' 라는 조금은 어리석은 큰 명제에 집중하지 않는다. 이러한 명제들을 들추어보면 사실 지레 겁먹은 사회나 직능인들의 기우...,https://www.yes24.com/product/goods/95551429
AI 제국주의,윤상오,커뮤니케이션북스,2025년 07월,12000,12000,1,96,N/A,AI 제국주의는 데이터·알고리즘·칩·자본을 갖춘 소수 AI 제국이 다수 AI 식민지를 지속적·장기적으로 지배하고 수탈하는 체제다. AI 주권을 갖지 못하면 기술적·경제적·안보적으로뿐 아니라 사회적·문화적·정신적으...,https://www.yes24.com/product/goods/148865192
증강현실(AR) 및 가상현실(VR) 기반 인터랙티브 미디어 디자인,나유미,지식과감성#,2024년 10월,18000,16200,2,138,N/A,"AR과 VR 기술은 다양한 산업에서 변화를 주도하며,혁신적인 경험과 새로운 가능성을 제공하고 있다.“이 책에서는 AR과 VR 기술의 현재 상황과 다양한 산업에서의 응용 사례, 그리고 미래 기술의 발전 방향을 종합적...",https://www.yes24.com/product/goods/134634562
인공 인간,"수잔 슈나이더 /이해윤, 김성묵 역",한울아카데미,2024년 05월,22000,22000,0,96,N/A,"이 책의 핵심은 철학과 과학 간의 대화이다새로운 기술의 과학이 마음, 자아, 인간에 대한 우리의 철학적 이해에 문제를 제기하고 이해의 폭을 넓혀줄 수 있다. 그에 반해 철학은 의식이 있는 로봇이 존재할 수 있는...",https://www.yes24.com/product/goods/148420115
디지털 트윈 개발 및 클라우드 배포,"나심 칼레드, 비빈 파텔, 아판 시디키 /최만균 역",에이콘출판사,2022년 02월,45000,40500,0,108,N/A,"디지털 트윈은 메타버스와 함께 가상세계와 현실세계를 이어주는 플랫폼으로, 물리적 자산 및 프로세스를 소프트웨어로 표현하는 기술을 의미한다. 이 책에서는 디지털 트윈을 배포하기 위해 사용하는 핵심 요소들과...",https://www.yes24.com/product/goods/106709971
인공지능 상담,피터 B. 라베 /김수배 역,연암서가,2025년 12월,23000,21850,0,36,N/A,"이 책의 내용은 독창적이다. 인간 철학상담사가 주로 로봇 내담자와 마주 앉아 상담을 진행하고, 그 대화를 가상의 시나리오처럼 구성하여 철학적인 분석과 통찰을 덧붙인다. 얼핏 보면 짤막한 철학 또는 SF 소설 모...",https://www.yes24.com/product/goods/168192664
AI와 1인 창업,유훈식,커뮤니케이션북스,2025년 08월,12000,12000,0,90,N/A,"AI는 1인 창업의 든든한 파트너다. 기획, 마케팅, 고객 대응까지 혼자서도 가능한 시대가 열린 것이다. 누구나 창업할 수 있는 이 시대에 필요한 도구, 전략, 태도를 실용적으로 안내한다. 작은 시작이 큰 가능성을 ...",https://www.yes24.com/product/goods/150315575
이미지 인식과 자율주행 (Feat. 딥코 봇),DEEPCO 출판연구소,유비온,2024년 01월,20000,18000,0,96,N/A,1. 내 손으로 만들며 배우는 〈딥코 봇을 활용한 이미지 인식과 자율주행〉 딥러닝 첫번째 이야기2. 언플러그드 활동부터 자율주행자동차까지! 현직 교사들이 현장에서 직접 검증하며 만든 다양한 실습 프로젝트!3. ...,https://www.yes24.com/product/goods/123919600
시맨틱 데이터 모형화,파노스 알렉소풀로스 /박진수 역,한빛미디어,2022년 03월,30000,27000,12,168,N/A,함정과 딜레마를 극복하는 올바른 시맨틱 가이드빅데이터와 인공지능 열풍 시대에 데이터는 금광으로 여겨진다. 그리고 수많은 데이터 실무자와 거대 기업은 그 속에서 가치를 얻으려 노력한다. 하지만 데이터는 있...,https://www.yes24.com/product/goods/107993394
AI 범죄와 윤리적 책임 주체,최애순,커뮤니케이션북스,2026년 01월,12000,12000,0,60,N/A,"AI는 공정함의 대안처럼 도입되지만, 사고와 범죄가 발생하면 책임 주체가 불명확해진다. 이 책은 AI 범죄의 다양한 경우를 통해 책임의 귀속 기준을 점검하고, AI 윤리가 인간의 가치와 공존의 조건임을 밝힌다. AI...",https://www.yes24.com/product/goods/170649651
AI와 무용 교육,김경미,커뮤니케이션북스,2025년 11월,12000,12000,0,90,N/A,"AI는 무용 교육의 도구이자 조력자다. 기술은 동작을 분석하지만, 예술의 감정은 인간만이 만든다. 몸과 알고리즘이 만나며 무용 교육은 다시 인간의 감각을 배우는 예술로 돌아간다. AI총서. aiseries.oopy.io에서 ...",https://www.yes24.com/product/goods/164773671
LTE를 통한 3G 진화,ERIK DAHLMAN  / 조봉열 역,홍릉과학출판사,2010년 04월,29000,29000,0,60,N/A,N/A,https://www.yes24.com/product/goods/3795660
홈 네트워크 시스템 실습,신경철 등,광문각,2007년 09월,15000,15000,0,60,N/A,"네트워크 시스템 실습서. 이 책은 홈 네트워크 미디어 서버 기술과 홈서버 구축을 위한 프로그램 실행, 이동 단말기를 통한 모바일 제어 프로그램 등을 학습할 수 있도록 구성했다.",https://www.yes24.com/product/goods/3523972
AI 시대! 디지털 문화콘텐츠의 이해,임상국,교우,2026년 02월,22000,22000,0,60,N/A,『AI 시대! 디지털 문화콘텐츠의 이해』는 AI 시대를 살아가는 21세기 현대인들에게 “기술너머의 인간적 통찰”을 제시하고 “AI시대를 이해하는 지침서”를 제시하기 위해 만들어 졌습니다. 이 책은 단순한 전공 ...,https://www.yes24.com/product/goods/177318529
데이터에서 생성형 AI까지,"최성윤 /이원찬, 조정훈 감수",경문사,2026년 01월,49000,49000,0,60,N/A,"기존의 많은 교재는 수식과 이론을 정교하게 전개하거나, 반대로 코드를 중심으로 한 실습에 집중하는 방식 중 하나를 택하고 있다. 전자의 경우 초심자에게는 진입 장벽이 높고, 후자의 경우 빠른 실습 경험은 제공...",https://www.yes24.com/product/goods/177216812
"누구나 쉽게 AI 작사 & 작곡 with 생성형 인공지능, 챗GPT, 수노, 유디오 (큰글자책)","현병욱(오땡큐), 신수진",시프트,2026년 02월,39000,39000,0,60,N/A,"AI로 시작하는 음악, 쉽고 재미있게 나만의 음악을 만들며, 음악의 매력에 빠져 보자!'AI에서 클릭 몇 번이면 음악이 뚝딱 완성되는데, 과연 책을 볼 필요가 있을까?' 직접 AI를 사용하여 음악을 만들어 보면 가졌던...",https://www.yes24.com/product/goods/176920892
AI와 무용,임영숙,커뮤니케이션북스,2026년 01월,12000,12000,0,60,N/A,"AI 안무와 로봇 퍼포먼스가 확장하는 ‘춤의 미래’를 따라가며 몸의 감각이 데이터로 환원되지 않는 지점을 짚는다. 기술의 효율이 아니라 현존의 떨림이 무엇인지, AI 시대 우리는 어떤 춤을 원하는지 묻는다. 전...",https://www.yes24.com/product/goods/174028760
경영을 넷플릭스하다,이학연,넥서스BIZ,2020년 03월,17500,15750,35,60,N/A,"재미와 교양, 상식을 한 번에 잡는 비즈니스 세상 이야기요즘 비즈니스 핵심 키워드와 트렌드를 단번에 읽는다!새로운 세상의 비즈니스, 모두의 교양이 되다빅데이터, 인공지능, 플랫폼 비즈니스. 어디서 많이 들어 ...",https://www.yes24.com/product/goods/89432868
인공지능과 고전 읽기,강우규,커뮤니케이션북스,2024년 11월,12000,12000,0,60,N/A,"AI 기술이 고전소설 연구와 교육에 어떻게 활용될 수 있는지 탐구한다. 디지털 분석, 딥러닝, 생성형 AI를 활용한 고전소설의 새로운 연구 방법과 교육 방안을 소개하며 AI가 고전소설을 향유할 수 있는 미래의 모델...",https://www.yes24.com/product/goods/139548715
구글 클라우드 플랫폼상의 데이터 과학,발리아파 락쉬마난 /이준호 역,에이콘출판사,2019년 11월,40000,36000,1,72,N/A,"구글 클라우드 플랫폼(GCP)상에서 실제 문제에 정교한 통계 및 머신 러닝 방법론을 쉽게 적용하는 방법을 알려주는 책이다. 데이터 과학 분야에 입문하는 개발자는 통계와 머신 러닝 방법론, GCP 도구를 이용해 엔드...",https://www.yes24.com/product/goods/83493641
AI 생성 이미지 시대의 시각 문해력,김경원,커뮤니케이션북스,2026년 02월,12000,12000,0,123,N/A,"이미지를 ‘보는 것’에서 ‘읽는 것’으로 전환하자고 제안한다. 생성형 AI와 플랫폼 알고리즘이 만든 시각 환경 속에서 이미지의 형식, 맥락, 출처를 해석하고 판별하는 능력이 왜 중요한지 설명한다. 이미지 소비...",https://www.yes24.com/product/goods/177078748
시니어를 위한 똑똑한 AI 생활 with 챗GPT (큰글자책),진현주,시대인,2026년 02월,32000,32000,0,42,N/A,큰 그림과 예제로쉽고 재미있게 배우는유쾌한 챗GPT 입문서!컴퓨터의 챗GPT 기본 화면 구성부터스마트폰 챗GPT 앱의 음성 모드 사용 방법까지챗GPT 사용의 핵심만 모았다!친절한 설명은 덤!누구나 쉽고 빠르게 마스...,https://www.yes24.com/product/goods/176454256
